created_date,Delhi_0,Delhi_1,Delhi_10,Delhi_2,Delhi_3,Delhi_4,Delhi_5,Delhi_6,Delhi_7,Delhi_8,Delhi_9
13/09/22,21,22,16,35,33,23,32,6,8,4,35
14/09/22,39,27,16,51,43,60,35,17,19,4,41
15/09/22,80,103,44,115,51,93,95,13,46,15,132
16/09/22,228,210,109,221,114,229,196,31,106,39,176
17/09/22,238,182,96,189,150,190,167,27,88,50,172
18/09/22,248,146,93,155,128,174,124,17,66,41,151
19/09/22,234,176,114,206,134,220,141,91,107,40,204
20/09/22,190,161,78,181,118,215,179,40,109,44,207
21/09/22,234,226,107,220,161,247,180,45,105,59,220
22/09/22,181,178,98,197,146,186,164,37,95,48,224
23/09/22,195,224,106,241,122,220,221,28,119,52,213
24/09/22,205,199,131,194,153,215,179,30,106,51,196
25/09/22,161,141,94,156,105,191,119,28,84,38,200
26/09/22,207,262,120,256,241,252,201,53,100,42,252
27/09/22,182,259,118,249,150,266,202,39,135,63,186
28/09/22,207,238,136,229,157,240,196,46,108,47,224
29/09/22,181,213,91,247,153,221,175,35,124,66,196
30/09/22,183,213,110,227,151,182,169,60,131,57,198
01/10/22,158,205,111,230,116,208,188,27,98,35,240
02/10/22,149,91,110,101,79,144,86,19,52,23,150
03/10/22,255,182,122,224,144,223,157,35,102,35,248
04/10/22,192,206,130,217,116,202,219,23,107,34,221
05/10/22,141,128,79,134,96,138,131,27,63,26,143
06/10/22,282,241,106,227,166,235,220,48,133,40,253
07/10/22,185,168,119,219,144,212,206,38,112,36,220
08/10/22,203,179,105,190,130,225,141,23,100,56,154
09/10/22,140,122,85,123,104,149,104,23,63,40,123
10/10/22,195,260,117,253,128,215,175,38,109,59,246
11/10/22,232,234,156,252,170,219,230,37,123,63,258
12/10/22,261,202,115,260,143,212,218,43,128,48,241
13/10/22,206,176,104,208,136,165,170,30,96,47,212
14/10/22,159,195,143,173,157,198,193,31,85,35,203
15/10/22,139,186,116,187,148,196,166,36,81,49,183
16/10/22,175,130,84,121,107,156,94,18,54,34,137
17/10/22,160,185,107,194,153,202,161,41,112,100,240
18/10/22,180,172,88,233,135,189,196,26,73,50,206
19/10/22,181,182,128,251,156,217,169,26,84,60,309
20/10/22,214,187,111,203,146,183,146,31,78,39,232
21/10/22,184,166,98,212,149,147,161,41,74,46,172
22/10/22,128,109,103,231,108,169,121,24,72,46,147
23/10/22,124,81,92,103,72,127,97,34,49,38,128
24/10/22,76,61,46,71,52,67,51,14,27,11,84
25/10/22,151,144,89,156,130,162,107,31,82,45,155
26/10/22,124,125,79,156,92,143,119,20,96,44,162
27/10/22,124,142,85,174,109,134,145,29,85,42,208
28/10/22,101,116,75,194,124,171,145,26,69,32,144
29/10/22,119,133,83,121,115,138,112,24,84,21,155
30/10/22,90,82,84,101,102,99,98,14,49,27,157
31/10/22,165,126,76,174,126,169,110,27,79,34,217
01/11/22,160,132,67,199,116,183,189,25,84,35,147
02/11/22,164,140,77,210,109,173,181,24,89,34,189
03/11/22,218,184,88,197,109,178,144,28,86,33,166
04/11/22,238,183,90,169,127,166,131,30,74,31,162
05/11/22,215,146,105,192,191,198,139,41,89,30,187
06/11/22,165,97,72,111,90,148,100,18,52,30,128
07/11/22,217,169,100,208,108,181,149,45,76,50,175
08/11/22,207,159,93,154,109,171,134,24,73,37,144
09/11/22,182,169,111,168,131,170,142,18,81,39,178
10/11/22,149,177,66,187,118,177,160,31,71,49,180
11/11/22,136,168,84,151,96,139,160,36,77,62,134
12/11/22,178,191,75,190,124,223,192,22,86,49,248
13/11/22,155,95,75,107,80,152,189,21,51,37,122
14/11/22,167,201,125,194,124,174,170,31,89,48,201
15/11/22,174,179,83,183,149,163,165,28,88,27,175
16/11/22,165,176,75,152,98,176,163,35,79,41,174
17/11/22,173,157,118,186,145,168,143,36,92,41,167
18/11/22,141,162,66,173,141,188,115,38,92,58,163
19/11/22,154,138,100,182,134,149,130,33,68,62,183
20/11/22,172,83,72,116,63,119,81,15,44,35,113
21/11/22,193,152,82,184,121,199,150,29,97,75,173
